"SKU","Product Name","Smell Group","Smell Subgroup","Smell Head","Smell Heart","Smell Base","Colour","hue","value","chroma","Edition"
"10101DE",Cookies & Cream,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10101DE-L",Cookies & Cream,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10101DE-M",Cookies & Cream,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10101DE-S",Cookies & Cream,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10101FR",Cookies & Cream,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10101FR-L",Cookies & Cream,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10101FR-M",Cookies & Cream,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10101FR-S",Cookies & Cream,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10101IT",Cookies & Cream,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10101IT-L",Cookies & Cream,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10101IT-M",Cookies & Cream,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10101IT-S",Cookies & Cream,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10101UK",Cookies & Cream,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10101UK-L",Cookies & Cream,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10101UK-M",Cookies & Cream,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10101UK-S",Cookies & Cream,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10102FR",Creamy Vanilla,"""Oriental""","""Gourmand""","""Vanilla, Warm Milk""","""Vanilla, Hawthorn""","""Vanilla, Coconut""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10102FR-L",Creamy Vanilla,"""Oriental""","""Gourmand""","""Vanilla, Warm Milk""","""Vanilla, Hawthorn""","""Vanilla, Coconut""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10102FR-M",Creamy Vanilla,"""Oriental""","""Gourmand""","""Vanilla, Warm Milk""","""Vanilla, Hawthorn""","""Vanilla, Coconut""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10102FR-S",Creamy Vanilla,"""Oriental""","""Gourmand""","""Vanilla, Warm Milk""","""Vanilla, Hawthorn""","""Vanilla, Coconut""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10102IT-L",Creamy Vanilla,"""Oriental""","""Gourmand""","""Vanilla, Warm Milk""","""Vanilla, Hawthorn""","""Vanilla, Coconut""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10102IT-M",Creamy Vanilla,"""Oriental""","""Gourmand""","""Vanilla, Warm Milk""","""Vanilla, Hawthorn""","""Vanilla, Coconut""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10102IT-S",Creamy Vanilla,"""Oriental""","""Gourmand""","""Vanilla, Warm Milk""","""Vanilla, Hawthorn""","""Vanilla, Coconut""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10102UK-L",Creamy Vanilla,"""Oriental""","""Gourmand""","""Vanilla, Warm Milk""","""Vanilla, Hawthorn""","""Vanilla, Coconut""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10102UK-M",Creamy Vanilla,"""Oriental""","""Gourmand""","""Vanilla, Warm Milk""","""Vanilla, Hawthorn""","""Vanilla, Coconut""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10102UK-S",Creamy Vanilla,"""Oriental""","""Gourmand""","""Vanilla, Warm Milk""","""Vanilla, Hawthorn""","""Vanilla, Coconut""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10105DE",Happy Birthday,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Light Purple""","2.5RP","""4""","""16""","""Classic"""
"10105DE-L",Happy Birthday,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Light Purple""","2.5RP","""4""","""16""","""Classic"""
"10105DE-M",Happy Birthday,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Light Purple""","2.5RP","""4""","""16""","""Classic"""
"10105DE-S",Happy Birthday,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Light Purple""","2.5RP","""4""","""16""","""Classic"""
"10105FR",Happy Birthday,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Light Purple""","2.5RP","""4""","""16""","""Classic"""
"10105FR-L",Happy Birthday,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Light Purple""","2.5RP","""4""","""16""","""Classic"""
"10105FR-M",Happy Birthday,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Light Purple""","2.5RP","""4""","""16""","""Classic"""
"10105FR-S",Happy Birthday,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Light Purple""","2.5RP","""4""","""16""","""Classic"""
"10105IT",Happy Birthday,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Light Purple""","2.5RP","""4""","""16""","""Classic"""
"10105IT-L",Happy Birthday,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Light Purple""","2.5RP","""4""","""16""","""Classic"""
"10105IT-M",Happy Birthday,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Light Purple""","2.5RP","""4""","""16""","""Classic"""
"10105IT-S",Happy Birthday,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Light Purple""","2.5RP","""4""","""16""","""Classic"""
"10105UK",Happy Birthday,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Light Purple""","2.5RP","""4""","""16""","""Classic"""
"10105UK-L",Happy Birthday,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Light Purple""","2.5RP","""4""","""16""","""Classic"""
"10105UK-M",Happy Birthday,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Light Purple""","2.5RP","""4""","""16""","""Classic"""
"10105UK-S",Happy Birthday,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Light Purple""","2.5RP","""4""","""16""","""Classic"""
"10106DE",Passion Fruit,"""Fresh""","""Fruity""","""Citrus""","""Passion Fruit, Exotic Blossom""","""White Musk, Vanilla""","""Yellow""","10Y","""9""","""12""","""Classic"""
"10106FR",Passion Fruit,"""Fresh""","""Fruity""","""Citrus""","""Passion Fruit, Exotic Blossom""","""White Musk, Vanilla""","""Yellow""","10Y","""9""","""12""","""Classic"""
"10106IT",Passion Fruit,"""Fresh""","""Fruity""","""Citrus""","""Passion Fruit, Exotic Blossom""","""White Musk, Vanilla""","""Yellow""","10Y","""9""","""12""","""Classic"""
"10106UK",Passion Fruit,"""Fresh""","""Fruity""","""Citrus""","""Passion Fruit, Exotic Blossom""","""White Musk, Vanilla""","""Yellow""","10Y","""9""","""12""","""Classic"""
"10107FR",Pink Cherry,"""Fresh""","""Fruity""","""Valencia Orange, Maraschino Cherry, Raspberry Leaf""","""Wild Strawberry, Violet Petal, Lush Greens""","""Granulated Sugar, Green Apple Peel, Soft Vanilla""","""Pink""","5RP","""5""","""18""","""Classic"""
"10107FR-L",Pink Cherry,"""Fresh""","""Fruity""","""Valencia Orange, Maraschino Cherry, Raspberry Leaf""","""Wild Strawberry, Violet Petal, Lush Greens""","""Granulated Sugar, Green Apple Peel, Soft Vanilla""","""Pink""","5RP","""5""","""18""","""Classic"""
"10107FR-M",Pink Cherry,"""Fresh""","""Fruity""","""Valencia Orange, Maraschino Cherry, Raspberry Leaf""","""Wild Strawberry, Violet Petal, Lush Greens""","""Granulated Sugar, Green Apple Peel, Soft Vanilla""","""Pink""","5RP","""5""","""18""","""Classic"""
"10107FR-S",Pink Cherry,"""Fresh""","""Fruity""","""Valencia Orange, Maraschino Cherry, Raspberry Leaf""","""Wild Strawberry, Violet Petal, Lush Greens""","""Granulated Sugar, Green Apple Peel, Soft Vanilla""","""Pink""","5RP","""5""","""18""","""Classic"""
"10107FR-XS",Pink Cherry,"""Fresh""","""Fruity""","""Valencia Orange, Maraschino Cherry, Raspberry Leaf""","""Wild Strawberry, Violet Petal, Lush Greens""","""Granulated Sugar, Green Apple Peel, Soft Vanilla""","""Pink""","5RP","""5""","""18""","""Classic"""
"10107IT",Pink Cherry,"""Fresh""","""Fruity""","""Valencia Orange, Maraschino Cherry, Raspberry Leaf""","""Wild Strawberry, Violet Petal, Lush Greens""","""Granulated Sugar, Green Apple Peel, Soft Vanilla""","""Pink""","5RP","""5""","""18""","""Classic"""
"10107IT-L",Pink Cherry,"""Fresh""","""Fruity""","""Valencia Orange, Maraschino Cherry, Raspberry Leaf""","""Wild Strawberry, Violet Petal, Lush Greens""","""Granulated Sugar, Green Apple Peel, Soft Vanilla""","""Pink""","5RP","""5""","""18""","""Classic"""
"10107IT-M",Pink Cherry,"""Fresh""","""Fruity""","""Valencia Orange, Maraschino Cherry, Raspberry Leaf""","""Wild Strawberry, Violet Petal, Lush Greens""","""Granulated Sugar, Green Apple Peel, Soft Vanilla""","""Pink""","5RP","""5""","""18""","""Classic"""
"10107IT-S",Pink Cherry,"""Fresh""","""Fruity""","""Valencia Orange, Maraschino Cherry, Raspberry Leaf""","""Wild Strawberry, Violet Petal, Lush Greens""","""Granulated Sugar, Green Apple Peel, Soft Vanilla""","""Pink""","5RP","""5""","""18""","""Classic"""
"10107UK",Pink Cherry,"""Fresh""","""Fruity""","""Valencia Orange, Maraschino Cherry, Raspberry Leaf""","""Wild Strawberry, Violet Petal, Lush Greens""","""Granulated Sugar, Green Apple Peel, Soft Vanilla""","""Pink""","5RP","""5""","""18""","""Classic"""
"10108DE",Sweet Cupcake,"""Oriental""","""Gourmand""","""Citrus""","""Orchid, White Blossom, Patchouli""","""Vanilla Pod, White Musk""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10108DE-L",Sweet Cupcake,"""Oriental""","""Gourmand""","""Citrus""","""Orchid, White Blossom, Patchouli""","""Vanilla Pod, White Musk""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10108DE-M",Sweet Cupcake,"""Oriental""","""Gourmand""","""Citrus""","""Orchid, White Blossom, Patchouli""","""Vanilla Pod, White Musk""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10108DE-S",Sweet Cupcake,"""Oriental""","""Gourmand""","""Citrus""","""Orchid, White Blossom, Patchouli""","""Vanilla Pod, White Musk""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10108FR",Sweet Cupcake,"""Oriental""","""Gourmand""","""Citrus""","""Orchid, White Blossom, Patchouli""","""Vanilla Pod, White Musk""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10108FR-L",Sweet Cupcake,"""Oriental""","""Gourmand""","""Citrus""","""Orchid, White Blossom, Patchouli""","""Vanilla Pod, White Musk""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10108FR-M",Sweet Cupcake,"""Oriental""","""Gourmand""","""Citrus""","""Orchid, White Blossom, Patchouli""","""Vanilla Pod, White Musk""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10108FR-S",Sweet Cupcake,"""Oriental""","""Gourmand""","""Citrus""","""Orchid, White Blossom, Patchouli""","""Vanilla Pod, White Musk""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10108IT",Sweet Cupcake,"""Oriental""","""Gourmand""","""Citrus""","""Orchid, White Blossom, Patchouli""","""Vanilla Pod, White Musk""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10108IT-L",Sweet Cupcake,"""Oriental""","""Gourmand""","""Citrus""","""Orchid, White Blossom, Patchouli""","""Vanilla Pod, White Musk""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10108IT-M",Sweet Cupcake,"""Oriental""","""Gourmand""","""Citrus""","""Orchid, White Blossom, Patchouli""","""Vanilla Pod, White Musk""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10108IT-S",Sweet Cupcake,"""Oriental""","""Gourmand""","""Citrus""","""Orchid, White Blossom, Patchouli""","""Vanilla Pod, White Musk""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10108UK",Sweet Cupcake,"""Oriental""","""Gourmand""","""Citrus""","""Orchid, White Blossom, Patchouli""","""Vanilla Pod, White Musk""","""Beige ""","5Y","""9""","""4""","""Classic"""
"101105DE",Happy Birthday,"""Oriental""","""Gourmand""","""Lemon Zest, Bergamot, Clementine""","""Sweet Vanilla Cloud, Sugar Confection""","""Spiced Sugar Cookie, Sprinkled Cinnamon, Hazelnut Cream""","""Light Purple""","2.5RP","""4""","""16""",
"101106DE",Pomegranate Lemonade,"""Fresh""","""Fruity""","""Lemon""","""nan""","""Vanilla""","""Dark Pink""","5R","""4""","""14""","""Classic"""
"101106DE-L",Pomegranate Lemonade,"""Fresh""","""Fruity""","""Lemon""","""nan""","""Vanilla""","""Dark Pink""","5R","""4""","""14""","""Classic"""
"101106DE-M",Pomegranate Lemonade,"""Fresh""","""Fruity""","""Lemon""","""nan""","""Vanilla""","""Dark Pink""","5R","""4""","""14""","""Classic"""
"101106DE-S",Pomegranate Lemonade,"""Fresh""","""Fruity""","""Lemon""","""nan""","""Vanilla""","""Dark Pink""","5R","""4""","""14""","""Classic"""
"101106FR",Pomegranate Lemonade,"""Fresh""","""Fruity""","""Lemon""","""nan""","""Vanilla""","""Dark Pink""","5R","""4""","""14""","""Classic"""
"101106IT",Pomegranate Lemonade,"""Fresh""","""Fruity""","""Lemon""","""nan""","""Vanilla""","""Dark Pink""","5R","""4""","""14""","""Classic"""
"101106UK",Pomegranate Lemonade,"""Fresh""","""Fruity""","""Lemon""","""nan""","""Vanilla""","""Dark Pink""","5R","""4""","""14""","""Classic"""
"101107DE",Wild Flowers,"""Floral""","""Floral""","""nan""","""nan""","""nan""","""Orange""","7.5RP","""7""","""8""","""Classic"""
"101107FR",Wild Flowers,"""Floral""","""Floral""","""nan""","""nan""","""nan""","""Orange""","7.5RP","""7""","""8""","""Classic"""
"101109DE",Mango Melon Smoothie,"""Fresh""","""Fruity""","""Mango, Orange, Tropical Fruit""","""Peach / Apricot, Blackcurrant, Rose""","""Peach / Apricot, Vanilla, Sandalwood""","""Yellow""","2.5Y","""8""","""10""","""Classic"""
"101109DE-L",Mango Melon Smoothie,"""Fresh""","""Fruity""","""Mango, Orange, Tropical Fruit""","""Peach / Apricot, Blackcurrant, Rose""","""Peach / Apricot, Vanilla, Sandalwood""","""Yellow""","2.5Y","""8""","""10""","""Classic"""
"101109DE-M",Mango Melon Smoothie,"""Fresh""","""Fruity""","""Mango, Orange, Tropical Fruit""","""Peach / Apricot, Blackcurrant, Rose""","""Peach / Apricot, Vanilla, Sandalwood""","""Yellow""","2.5Y","""8""","""10""","""Classic"""
"101109DE-S",Mango Melon Smoothie,"""Fresh""","""Fruity""","""Mango, Orange, Tropical Fruit""","""Peach / Apricot, Blackcurrant, Rose""","""Peach / Apricot, Vanilla, Sandalwood""","""Yellow""","2.5Y","""8""","""10""","""Classic"""
"101109DE-XS",Mango Melon Smoothie,"""Fresh""","""Fruity""","""Mango, Orange, Tropical Fruit""","""Peach / Apricot, Blackcurrant, Rose""","""Peach / Apricot, Vanilla, Sandalwood""","""Yellow""","2.5Y","""8""","""10""","""Classic"""
"101109FR",Mango Melon Smoothie,"""Fresh""","""Fruity""","""Mango, Orange, Tropical Fruit""","""Peach / Apricot, Blackcurrant, Rose""","""Peach / Apricot, Vanilla, Sandalwood""","""Yellow""","2.5Y","""8""","""10""","""Classic"""
"101109FR-L",Mango Melon Smoothie,"""Fresh""","""Fruity""","""Mango, Orange, Tropical Fruit""","""Peach / Apricot, Blackcurrant, Rose""","""Peach / Apricot, Vanilla, Sandalwood""","""Yellow""","2.5Y","""8""","""10""","""Classic"""
"101109FR-M",Mango Melon Smoothie,"""Fresh""","""Fruity""","""Mango, Orange, Tropical Fruit""","""Peach / Apricot, Blackcurrant, Rose""","""Peach / Apricot, Vanilla, Sandalwood""","""Yellow""","2.5Y","""8""","""10""","""Classic"""
"101109FR-S",Mango Melon Smoothie,"""Fresh""","""Fruity""","""Mango, Orange, Tropical Fruit""","""Peach / Apricot, Blackcurrant, Rose""","""Peach / Apricot, Vanilla, Sandalwood""","""Yellow""","2.5Y","""8""","""10""","""Classic"""
"101109IT",Mango Melon Smoothie,"""Fresh""","""Fruity""","""Mango, Orange, Tropical Fruit""","""Peach / Apricot, Blackcurrant, Rose""","""Peach / Apricot, Vanilla, Sandalwood""","""Yellow""","2.5Y","""8""","""10""","""Classic"""
"101109UK",Mango Melon Smoothie,"""Fresh""","""Fruity""","""Mango, Orange, Tropical Fruit""","""Peach / Apricot, Blackcurrant, Rose""","""Peach / Apricot, Vanilla, Sandalwood""","""Yellow""","2.5Y","""8""","""10""","""Classic"""
"10110FR",True Love,"""Floral""","""Floral""","""Chinese Ginger, Rose Oil, Raspberry""","""Rosewood, Turkish Rose, Lotus Flower""","""Sandalwood, Patchouli, Velvet Oud""","""Dark Red""","5R","""3""","""10""","""Classic"""
"10110FR-L",True Love,"""Floral""","""Floral""","""Chinese Ginger, Rose Oil, Raspberry""","""Rosewood, Turkish Rose, Lotus Flower""","""Sandalwood, Patchouli, Velvet Oud""","""Dark Red""","5R","""3""","""10""","""Classic"""
"10110FR-M",True Love,"""Floral""","""Floral""","""Chinese Ginger, Rose Oil, Raspberry""","""Rosewood, Turkish Rose, Lotus Flower""","""Sandalwood, Patchouli, Velvet Oud""","""Dark Red""","5R","""3""","""10""","""Classic"""
"10110FR-S",True Love,"""Floral""","""Floral""","""Chinese Ginger, Rose Oil, Raspberry""","""Rosewood, Turkish Rose, Lotus Flower""","""Sandalwood, Patchouli, Velvet Oud""","""Dark Red""","5R","""3""","""10""","""Classic"""
"10110IT",True Love,"""Floral""","""Floral""","""Chinese Ginger, Rose Oil, Raspberry""","""Rosewood, Turkish Rose, Lotus Flower""","""Sandalwood, Patchouli, Velvet Oud""","""Dark Red""","5R","""3""","""10""","""Classic"""
"10110IT-L",True Love,"""Floral""","""Floral""","""Chinese Ginger, Rose Oil, Raspberry""","""Rosewood, Turkish Rose, Lotus Flower""","""Sandalwood, Patchouli, Velvet Oud""","""Dark Red""","5R","""3""","""10""","""Classic"""
"10110IT-M",True Love,"""Floral""","""Floral""","""Chinese Ginger, Rose Oil, Raspberry""","""Rosewood, Turkish Rose, Lotus Flower""","""Sandalwood, Patchouli, Velvet Oud""","""Dark Red""","5R","""3""","""10""","""Classic"""
"10110IT-S",True Love,"""Floral""","""Floral""","""Chinese Ginger, Rose Oil, Raspberry""","""Rosewood, Turkish Rose, Lotus Flower""","""Sandalwood, Patchouli, Velvet Oud""","""Dark Red""","5R","""3""","""10""","""Classic"""
"10110UK",True Love,"""Floral""","""Floral""","""Chinese Ginger, Rose Oil, Raspberry""","""Rosewood, Turkish Rose, Lotus Flower""","""Sandalwood, Patchouli, Velvet Oud""","""Dark Red""","5R","""3""","""10""","""Classic"""
"10110UK-L",True Love,"""Floral""","""Floral""","""Chinese Ginger, Rose Oil, Raspberry""","""Rosewood, Turkish Rose, Lotus Flower""","""Sandalwood, Patchouli, Velvet Oud""","""Dark Red""","5R","""3""","""10""","""Classic"""
"10110UK-M",True Love,"""Floral""","""Floral""","""Chinese Ginger, Rose Oil, Raspberry""","""Rosewood, Turkish Rose, Lotus Flower""","""Sandalwood, Patchouli, Velvet Oud""","""Dark Red""","5R","""3""","""10""","""Classic"""
"10110UK-S",True Love,"""Floral""","""Floral""","""Chinese Ginger, Rose Oil, Raspberry""","""Rosewood, Turkish Rose, Lotus Flower""","""Sandalwood, Patchouli, Velvet Oud""","""Dark Red""","5R","""3""","""10""","""Classic"""
"101110DE",Lime Mint Sorbet,"""Oriental""","""Gourmand""","""nan""","""nan""","""nan""","""Lime Green""","5GY","""9""","""10""","""Classic"""
"101110DE-L",Lime Mint Sorbet,"""Oriental""","""Gourmand""","""nan""","""nan""","""nan""","""Lime Green""","5GY","""9""","""10""","""Classic"""
"101110DE-M",Lime Mint Sorbet,"""Oriental""","""Gourmand""","""nan""","""nan""","""nan""","""Lime Green""","5GY","""9""","""10""","""Classic"""
"101110DE-S",Lime Mint Sorbet,"""Oriental""","""Gourmand""","""nan""","""nan""","""nan""","""Lime Green""","5GY","""9""","""10""","""Classic"""
"101110FR",Lime Mint Sorbet,"""Oriental""","""Gourmand""","""nan""","""nan""","""nan""","""Lime Green""","5GY","""9""","""10""","""Classic"""
"101110FR-L",Lime Mint Sorbet,"""Oriental""","""Gourmand""","""nan""","""nan""","""nan""","""Lime Green""","5GY","""9""","""10""","""Classic"""
"101110FR-M",Lime Mint Sorbet,"""Oriental""","""Gourmand""","""nan""","""nan""","""nan""","""Lime Green""","5GY","""9""","""10""","""Classic"""
"101110FR-S",Lime Mint Sorbet,"""Oriental""","""Gourmand""","""nan""","""nan""","""nan""","""Lime Green""","5GY","""9""","""10""","""Classic"""
"10111FR",Fruity Watermelon,"""Fresh""","""Fruity""","""nan""","""nan""","""nan""","""Pink""","2.5R","""5""","""10""","""Classic"""
"10111FR-L",Fruity Watermelon,"""Fresh""","""Fruity""","""nan""","""nan""","""nan""","""Pink""","2.5R","""5""","""10""","""Classic"""
"10111FR-M",Fruity Watermelon,"""Fresh""","""Fruity""","""nan""","""nan""","""nan""","""Pink""","2.5R","""5""","""10""","""Classic"""
"10111FR-S",Fruity Watermelon,"""Fresh""","""Fruity""","""nan""","""nan""","""nan""","""Pink""","2.5R","""5""","""10""","""Classic"""
"10111IT",Fruity Watermelon,"""Fresh""","""Fruity""","""nan""","""nan""","""nan""","""Pink""","2.5R","""5""","""10""","""Classic"""
"10111UK ",Fruity Watermelon,"""Fresh""","""Fruity""","""nan""","""nan""","""nan""","""Pink""","2.5R","""5""","""10""","""Classic"""
"101121DE",True Love,"""Floral""","""Floral""","""Chinese Ginger, Rose Oil, Raspberry""","""Rosewood, Turkish Rose, Lotus Flower""","""Sandalwood, Patchouli, Velvet Oud""","""Dark Red""","5R","""3""","""10""",
"101123DE",Marshmallow Fondue,"""Oriental""","""Gourmand""","""Butter Note""","""Milky Note""","""Vanilla, Sweet Sugar""","""Light Pink""","10RP","""8""","""4""","""Classic"""
"101123DE-L",Marshmallow Fondue,"""Oriental""","""Gourmand""","""Butter Note""","""Milky Note""","""Vanilla, Sweet Sugar""","""Light Pink""","10RP","""8""","""4""","""Classic"""
"101123DE-M",Marshmallow Fondue,"""Oriental""","""Gourmand""","""Butter Note""","""Milky Note""","""Vanilla, Sweet Sugar""","""Light Pink""","10RP","""8""","""4""","""Classic"""
"101123DE-S",Marshmallow Fondue,"""Oriental""","""Gourmand""","""Butter Note""","""Milky Note""","""Vanilla, Sweet Sugar""","""Light Pink""","10RP","""8""","""4""","""Classic"""
