"SKU","Product Name","Smell Group","Smell Subgroup","Smell Head","Smell Heart","Smell Base","Colour","hue","value","chroma","Edition"
"101241DE-M",Panda Bear,"""Fresh""","""Green""","""nan""","""nan""","""nan""","""White""",N10,"""0""","""10""","""Exclusive"""
"101241DE-S",Panda Bear,"""Fresh""","""Green""","""nan""","""nan""","""nan""","""White""",N10,"""0""","""10""","""Exclusive"""
"101241FR-L",Panda Bear,"""Fresh""","""Green""","""nan""","""nan""","""nan""","""White""",N10,"""0""","""10""","""Exclusive"""
"101241FR-M",Panda Bear,"""Fresh""","""Green""","""nan""","""nan""","""nan""","""White""",N10,"""0""","""10""","""Exclusive"""
"101241FR-S",Panda Bear,"""Fresh""","""Green""","""nan""","""nan""","""nan""","""White""",N10,"""0""","""10""","""Exclusive"""
"101241IT-L",Panda Bear,"""Fresh""","""Green""","""nan""","""nan""","""nan""","""White""",N10,"""0""","""10""","""Exclusive"""
"101241IT-M",Panda Bear,"""Fresh""","""Green""","""nan""","""nan""","""nan""","""White""",N10,"""0""","""10""","""Exclusive"""
"101241IT-S",Panda Bear,"""Fresh""","""Green""","""nan""","""nan""","""nan""","""White""",N10,"""0""","""10""","""Exclusive"""
"10124DE",Creamy Vanilla,"""Oriental""","""Gourmand""","""Vanilla, Warm Milk""","""Vanilla, Hawthorn""","""Vanilla, Coconut""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10124DE-L",Creamy Vanilla,"""Oriental""","""Gourmand""","""Vanilla, Warm Milk""","""Vanilla, Hawthorn""","""Vanilla, Coconut""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10124DE-M",Creamy Vanilla,"""Oriental""","""Gourmand""","""Vanilla, Warm Milk""","""Vanilla, Hawthorn""","""Vanilla, Coconut""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10124DE-S",Creamy Vanilla,"""Oriental""","""Gourmand""","""Vanilla, Warm Milk""","""Vanilla, Hawthorn""","""Vanilla, Coconut""","""Beige ""","5Y","""9""","""4""","""Classic"""
"10125DE",Pink Cherry,"""Fresh""","""Fruity""","""Valencia Orange, Maraschino Cherry, Raspberry Leaf""","""Wild Strawberry, Violet Petal, Lush Greens""","""Granulated Sugar, Green Apple Peel, Soft Vanilla""","""Pink""","5RP","""5""","""18""","""Classic"""
"10125DE-L",Pink Cherry,"""Fresh""","""Fruity""","""Valencia Orange, Maraschino Cherry, Raspberry Leaf""","""Wild Strawberry, Violet Petal, Lush Greens""","""Granulated Sugar, Green Apple Peel, Soft Vanilla""","""Pink""","5RP","""5""","""18""","""Classic"""
"10125DE-M",Pink Cherry,"""Fresh""","""Fruity""","""Valencia Orange, Maraschino Cherry, Raspberry Leaf""","""Wild Strawberry, Violet Petal, Lush Greens""","""Granulated Sugar, Green Apple Peel, Soft Vanilla""","""Pink""","5RP","""5""","""18""","""Classic"""
"10125DE-S",Pink Cherry,"""Fresh""","""Fruity""","""Valencia Orange, Maraschino Cherry, Raspberry Leaf""","""Wild Strawberry, Violet Petal, Lush Greens""","""Granulated Sugar, Green Apple Peel, Soft Vanilla""","""Pink""","5RP","""5""","""18""","""Classic"""
